"year","make","model","mpg"
2002,"SUZUKI","VITARA",120
2002,"SUZUKI","VL1500 INTRUDER",101
2002,"SUZUKI","VL800 INTRUDER VOLUSIA",null
2002,"SUZUKI","VS1400GL INTRUDER",75
2002,"SUZUKI","VS800GL INTRUDER",null
2002,"SUZUKI","VZ800 MARAUDER",null
2002,"SUZUKI","XL-7",64
2002,"TM","MX100",null
2002,"TM","MX250",65
2002,"TM","MX85 (17/14)",null
2002,"TOYOTA","4RUNNER",null
2002,"TOYOTA","AVALON",24
2002,"TOYOTA","CAMRY",99
2002,"TOYOTA","CELICA",25
2002,"TOYOTA","COROLLA",null
2002,"TOYOTA","ECHO",1
2002,"TOYOTA","HIGHLANDER",null
2002,"TOYOTA","LAND CRUISER",57
2002,"TOYOTA","MR2 SPYDER",3
2002,"TOYOTA","PRIUS",null
2002,"TOYOTA","RAV4",31
2002,"TOYOTA","SEQUOIA",null
2002,"TOYOTA","SIENNA",null
2002,"TOYOTA","SOLARA",77
2002,"TOYOTA","TACOMA",100
2002,"TOYOTA","TUNDRA",122
2002,"TRIUMPH","AMERICA",null
2002,"TRIUMPH","BONNEVILLE",125
2002,"TRIUMPH","DAYTONA 955I",null
2002,"TRIUMPH","DAYTONA 955I CE",76
2002,"TRIUMPH","SPEED FOUR",null
2002,"TRIUMPH","SPEED TRIPLE",null
2002,"TRIUMPH","SPRINT RS",31
2002,"TRIUMPH","SPRINT ST",65
2002,"TRIUMPH","THUNDERBIRD",2
2002,"TRIUMPH","THUNDERBIRD SPORT",127
2002,"TRIUMPH","TIGER",87
2002,"TRIUMPH","TROPHY 1200",95
2002,"TRIUMPH","TT600",110
2002,"UD",1200,null
2002,"UD",1400,69
2002,"UD",1800,null
2002,"UD","1800CS",125
2002,"UD",2000,null
2002,"UD",2300,44
2002,"UD",2600,null
2002,"UD",3300,null
2002,"VICTORY","V92C",null
2002,"VICTORY","V92C DELUXE",18
2002,"VICTORY","V92TC",null
2002,"VOLKSWAGEN","BEETLE",142
2002,"VOLKSWAGEN","CABRIO",null
2002,"VOLKSWAGEN","DERBY",10
2002,"VOLKSWAGEN","EUROVAN",88
2002,"VOLKSWAGEN","GOLF",7
2002,"VOLKSWAGEN","JETTA",null
2002,"VOLKSWAGEN","PASSAT",16
2002,"VOLKSWAGEN","POINTER",118
2002,"VOLKSWAGEN","POINTER TRUCK",null
2002,"VOLKSWAGEN","SEDAN",null
2002,"VOLKSWAGEN","SHARAN",88
2002,"VOLVO","C70",103
2002,"VOLVO","S40",138
2002,"VOLVO","S60",49
2002,"VOLVO","S80",42
2002,"VOLVO","V40",24
2002,"VOLVO","V70",91
2002,"WESTERN RV","ALPINE",124
2002,"WORKHORSE","FASTRACK FT1061",97
2002,"WORKHORSE","FASTRACK FT1261",80
2002,"WORKHORSE","FASTRACK FT1460",null
2002,"WORKHORSE","FASTRACK FT1461",56
2002,"WORKHORSE","FASTRACK FT1601",73
2002,"WORKHORSE","FASTRACK FT1801",null
2002,"WORKHORSE","FASTRACK FT1802",48
2002,"WORKHORSE","FASTRACK FT931",null
2002,"WORKHORSE","P30",19
2002,"WORKHORSE","P32",null
2002,"WORKHORSE","P42",null
2002,"WORKHORSE","W20",146
2002,"WORKHORSE","W22",87
2002,"YAMAHA","FX1000A FX140 CRUISER",20
2002,"YAMAHA","FZS1000 FZ1",null
2002,"YAMAHA","GP1200 WAVERUNNER GP1200",null
2002,"YAMAHA","GP800A WAVERUNNER GP800R",44
2002,"YAMAHA","MM600 MOUNTAIN MAX 600",99
2002,"YAMAHA","MM700 MOUNTAIN MAX 700",35
2002,"YAMAHA","PW50",null
2002,"YAMAHA","PW80",null
2002,"YAMAHA","SJ700 SUPER JET",null
2002,"YAMAHA","SRX700",89
2002,"YAMAHA","SRX700S",95
2002,"YAMAHA","SV1200 WAVERUNNER SUV1200",null
2002,"YAMAHA","SX600/R",null
2002,"YAMAHA","SXV700 SX VIPER",148
2002,"YAMAHA","SXV700ER SX VIPER ER",null
2002,"YAMAHA","TTR125",120
2002,"YAMAHA","TTR125L",135
2002,"YAMAHA","TTR225",null
2002,"YAMAHA","TTR250",103
2002,"YAMAHA","TTR90",70
2002,"YAMAHA","TW200",null
2002,"YAMAHA","VK540 III",null
2002,"YAMAHA","VMX1200 V-MAX",null
2002,"YAMAHA","VT600 VENTURE 600",null
2002,"YAMAHA","VT700 VENTURE 700",null
2002,"YAMAHA","VX600ER VMAX 600 ER",null
2002,"YAMAHA","VX700ER VMAX 700 ER",null
2002,"YAMAHA","WR250F",null
2002,"YAMAHA","WR426F",null
2002,"YAMAHA","XA1200A WAVERUNNER XLT1200",18
2002,"YAMAHA","XA800A WAVERUNNER XLT800",89
2002,"YAMAHA","XL700A WAVEVENTURE XL700",75
2002,"YAMAHA","XT225",null
2002,"YAMAHA","XV1600A ROAD STAR",20
2002,"YAMAHA","XV1600AS ROAD STAR MIDNIGHT",null
2002,"YAMAHA","XV1600AT ROAD STAR SILVERADO",null
2002,"YAMAHA","XV1700PC ROAD STAR WARRIOR",92
2002,"YAMAHA","XV250 VIRAGO",138
2002,"YAMAHA","XVS1100 V STAR 1100 CUSTOM",null
2002,"YAMAHA","XVS1100A V STAR 1100 CLASSIC",79
2002,"YAMAHA","XVS1100AT V STAR 1100 SILVERADO",null
2002,"YAMAHA","XVS650 V STAR CUSTOM",83
2002,"YAMAHA","XVS650A V STAR CLASSIC",null
2002,"YAMAHA","XVS650AT V STAR SILVERADO",132
2002,"YAMAHA","XVZ1300TF ROYAL STAR VENTURE",66
2002,"YAMAHA","XVZ1300TFM ROYAL STAR MIDNIGHT VENT",null
2002,"YAMAHA","YFA-1 BREEZE125",null
2002,"YAMAHA","YFM250 BEAR TRACKER",130
2002,"YAMAHA","YFM350F WOLVERINE 4X4",null
2002,"YAMAHA","YFM350X WARRIOR",null
2002,"YAMAHA","YFM400 BIG BEAR 2X4",114
2002,"YAMAHA","YFM400 BIG BEAR 4X4",null
2002,"YAMAHA","YFM400A KODIAK",73
2002,"YAMAHA","YFM400F KODIAK 4X4",66
2002,"YAMAHA","YFM660F GRIZZLY 4X4",131
2002,"YAMAHA","YFM660R RAPTOR",52
2002,"YAMAHA","YFM80W RAPTOR",null
2002,"YAMAHA","YFS200 BLASTER",null
2002,"YAMAHA","YFZ350 BANSHEE",null
2002,"YAMAHA","YJ50 VINO",null
2002,"YAMAHA","YJ50RA VINO CLASSIC",39
2002,"YAMAHA","YW50 ZUMA",null
2002,"YAMAHA","YZ125",null
2002,"YAMAHA","YZ250",null
2002,"YAMAHA","YZ250F",47
2002,"YAMAHA","YZ426F",null
2002,"YAMAHA","YZ85",107
2002,"YAMAHA","YZF-R1",null
2002,"YAMAHA","YZF-R6",23
2002,"YAMAHA","YZF600R",null
2003,"ACURA","CL",null
2003,"ACURA","EL",null
2003,"ACURA","MDX",null
2003,"ACURA","NSX",92
2003,"ACURA","RL",60
2003,"ACURA","RSX",null
2003,"ACURA","TL",114
2003,"AMERICAN IRONHORSE","LEGEND",null
2003,"AMERICAN IRONHORSE","OUTLAW",66
2003,"AMERICAN IRONHORSE","RANGER T",139
2003,"AMERICAN IRONHORSE","SLAMMER",null
2003,"AMERICAN IRONHORSE","STALKER",15
2003,"AMERICAN IRONHORSE","TEJAS",null
2003,"AMERICAN IRONHORSE","TEXAS CHOPPER",null
2003,"APRILIA","ATLANTIC 500",132
2003,"APRILIA","ETV 1000 CAPONORD",63
2003,"APRILIA","MOJITO CUSTOM 50",null
2003,"APRILIA","MOJITO RETRO 50",null
2003,"APRILIA","RALLY 50 (AIR COOLED)",113
2003,"APRILIA","RS 50",23
2003,"APRILIA","RST1000 FUTURA",18
2003,"APRILIA","RSV MILLE",null
2003,"APRILIA","RSV MILLE R",66
2003,"APRILIA","RSV MILLE R HAGA",137
2003,"APRILIA","SCARABEO 100",null
2003,"APRILIA","SCARABEO 125",58
2003,"APRILIA","SCARABEO 150",null
2003,"APRILIA","SCARABEO 50 2T",null
2003,"APRILIA","SCARABEO 50 4T",70
2003,"APRILIA","SCARABEO 50 DITECH",null
2003,"APRILIA","SL1000 FALCO",null
2003,"APRILIA","SR 50 DITECH",59
2003,"APRILIA","TUONO FIGHTER 1000",null
2003,"APRILIA","TUONO RACER 1000",null
2003,"ARCTIC CAT","250 2X4",52
2003,"ARCTIC CAT","250 4X4",null
2003,"ARCTIC CAT","300 2X4",147
2003,"ARCTIC CAT","300 4X4",null
2003,"ARCTIC CAT","4-STROKE TOURING",null
2003,"ARCTIC CAT","4-STROKE TRAIL",null
2003,"ARCTIC CAT","400 2X4",null
2003,"ARCTIC CAT","400 2X4 AUTO",54
2003,"ARCTIC CAT","400 4X4",5
2003,"ARCTIC CAT","400 4X4 ACT",null
2003,"ARCTIC CAT","400 4X4 AUTO",15
2003,"ARCTIC CAT","400 4X4 AUTO ACT",117
2003,"ARCTIC CAT","400 4X4 AUTO MRP",26
2003,"ARCTIC CAT","400 4X4 MRP",99
2003,"ARCTIC CAT","500 4X4",9
2003,"ARCTIC CAT","500 4X4 AUTO",null
2003,"ARCTIC CAT","500 4X4 AUTO MRP",141
2003,"ARCTIC CAT","500 4X4 AUTO TBX",null
2003,"ARCTIC CAT","500 4X4 AUTO TRV",53
2003,"ARCTIC CAT","500 4X4 MRP",null
2003,"ARCTIC CAT","90 2X4",null
2003,"ARCTIC CAT","AC 440 SNO PRO",null
2003,"ARCTIC CAT","BEARCAT WIDETRACK",22
2003,"ARCTIC CAT","FIRECAT 500",null
2003,"ARCTIC CAT","FIRECAT 500 SNO PRO",null
2003,"ARCTIC CAT","FIRECAT 700 EFI",32
2003,"ARCTIC CAT","FIRECAT 700 EFI SNO PRO",38
2003,"ARCTIC CAT","MOUNTAIN CAT 570",137
2003,"ARCTIC CAT","MOUNTAIN CAT 600 EFI 136",85
2003,"ARCTIC CAT","MOUNTAIN CAT 600 EFI 144",null
2003,"ARCTIC CAT","MOUNTAIN CAT 800 EFI 144",138
2003,"ARCTIC CAT","MOUNTAIN CAT 800 EFI 151",null
2003,"ARCTIC CAT","MOUNTAIN CAT 900 144",109
2003,"ARCTIC CAT","MOUNTAIN CAT 900 151",null
2003,"ARCTIC CAT","MOUNTAIN CAT 900 1M",23
2003,"ARCTIC CAT","MOUNTAIN CAT 900 EARLY BUILD",null
2003,"ARCTIC CAT","PANTERA 550",null
2003,"ARCTIC CAT","PANTERA 600 EFI ESR",null
2003,"ARCTIC CAT","PANTERA 800 EFI ESR",25
2003,"ARCTIC CAT","PANTHER 370 R",142
2003,"ARCTIC CAT","PANTHER 570 ESR",null
2003,"ARCTIC CAT","Z 370",86
2003,"ARCTIC CAT","Z 370 ESR",null
2003,"ARCTIC CAT","Z 440 ESR",135
2003,"ARCTIC CAT","Z 440 SNO PRO",null
2003,"ARCTIC CAT","Z 570",63
2003,"ARCTIC CAT","Z 570 ESR",89
2003,"ARCTIC CAT","ZL 550",null
2003,"ARCTIC CAT","ZL 550 ESR",53
2003,"ARCTIC CAT","ZL 600 EFI",null
2003,"ARCTIC CAT","ZL 600 EFI ESR",null
2003,"ARCTIC CAT","ZL 600 EFI SS",null
2003,"ARCTIC CAT","ZL 600 EFI SS ESR",50
2003,"ARCTIC CAT","ZL 800 EFI ESR",null
2003,"ARCTIC CAT","ZL 800 EFI SS",131
2003,"ARCTIC CAT","ZR 120",null
2003,"ARCTIC CAT","ZR 800 EFI",126
2003,"ARCTIC CAT","ZR 800 EFI SNO PRO",null
2003,"ARCTIC CAT","ZR 900",null
2003,"ARCTIC CAT","ZR 900 EARLY BUILD",71
2003,"ARCTIC CAT","ZR 900 SNO PRO",null
2003,"ASTON MARTIN","DB7",77
2003,"ASTON MARTIN","VANQUISH",null
2003,"ATK","125 ENDURO",85
2003,"ATK","50 MXLQ",134
2003,"ATK","500 DT",null
2003,"AUDI","A3",32
2003,"AUDI","A4",null
2003,"AUDI","A4 QUATTRO",35
2003,"AUDI","A6",70
2003,"AUDI","A6 QUATTRO",8
2003,"AUDI","A8 QUATTRO",null
2003,"AUDI","ALLROAD QUATTRO",null
2003,"AUDI","RS6",null
2003,"AUDI","S3",null
2003,"AUDI","S6",null
2003,"AUDI","S8",null
2003,"AUDI","TT",null
2003,"AUDI","TT QUATTRO",null
2003,"AUTOCAR LLC.","XPEDITOR WX",88
2003,"AUTOCAR LLC.","XPEDITOR WXLL",null
2003,"AVANTI","II",102
2003,"BENTLEY","ARNAGE",null
2003,"BENTLEY","AZURE",117
2003,"BENTLEY","CONTINENTAL",null
2003,"BIG DOG","BOXER",null
2003,"BIG DOG","BULLDOG",null
2003,"BIG DOG","CHOPPER",118
2003,"BIG DOG","CHOPPER DT",106
2003,"BIG DOG","HUSKY",null
2003,"BIG DOG","MASTIFF",null
2003,"BIG DOG","PITBULL",null
2003,"BLUE BIRD","ALL AMERICAN",null
2003,"BLUE BIRD","SHL TC2000",null
2003,"BLUE BIRD","TC2000",0
2003,"BLUE BIRD","WANDERLODGE",null
2003,"BMW","320I",143
2003,"BMW","325CI",39
2003,"BMW","325I",81
2003,"BMW","325XI",null
2003,"BMW","330CI",null
2003,"BMW","330I",null
2003,"BMW","330XI",null
2003,"BMW","525I",null
2003,"BMW","530I",null
2003,"BMW","540I",17
2003,"BMW","745I",29
2003,"BMW","745LI",null
2003,"BMW","760LI",null
2003,"BMW","F650CS",null
2003,"BMW","F650CS ABS",81
2003,"BMW","F650GS",30
2003,"BMW","F650GS ABS",119
2003,"BMW","F650GS DAKAR",36
2003,"BMW","F650GS DAKAR ABS",null
2003,"BMW","K1200GT",83
2003,"BMW","K1200LT",22
2003,"BMW","K1200LT EXODUS",141
2003,"BMW","K1200RS",null
2003,"BMW","M3",142
2003,"BMW","M5",null
2003,"BMW","R1100S",72
2003,"BMW","R1100S BOXER CUP REPLICA",110
2003,"BMW","R1150GS",14
2003,"BMW","R1150GS ADVENTURE",null
2003,"BMW","R1150GS SPORT",112
2003,"BMW","R1150R",null
2003,"BMW","R1150R ROADSTER",null
2003,"BMW","R1150RS",135
2003,"BMW","R1150RT",null
2003,"BMW","R1200C AVANTGARDE",149
2003,"BMW","R1200C CLASSIC",null
2003,"BMW","R1200C INDEPENDENT",null
2003,"BMW","R1200C MONTANA",11
2003,"BMW","R1200CL",null
2003,"BMW","X5",88
2003,"BMW","Z4",null
2003,"BMW","Z8",56
2003,"BOMBARDIER","DS50",23
2003,"BOMBARDIER","DS650",105
2003,"BOMBARDIER","DS650 BAJA",79
2003,"BOMBARDIER","DS650 RACER",null
2003,"BOMBARDIER","DS90",10
2003,"BOMBARDIER","DS90 4-STROKE",null
2003,"BOMBARDIER","OUTLANDER 330 HO 2X4",61
2003,"BOMBARDIER","OUTLANDER 330 HO 4X4",32
2003,"BOMBARDIER","OUTLANDER 400 HO 2X4",11
2003,"BOMBARDIER","OUTLANDER 400 HO 4X4",66
2003,"BOMBARDIER","OUTLANDER 400 HO 4X4 XT",null
2003,"BOMBARDIER","QUEST 50",3
2003,"BOMBARDIER","QUEST 500 4X4",139
2003,"BOMBARDIER","QUEST 500 4X4 XT",null
2003,"BOMBARDIER","QUEST 650 4X4",null
2003,"BOMBARDIER","QUEST 650 4X4 XT",95
2003,"BOMBARDIER","RALLY 200",null
2003,"BOMBARDIER","TRAXTER 500 4X4 AUTO",null
2003,"BOMBARDIER","TRAXTER 500 4X4 AUTO XT",null
2003,"BOMBARDIER","TRAXTER 500 XL",null
2003,"BOMBARDIER","TRAXTER MAX 500 4X4 AUTO",77
2003,"BUELL","BLAST",null
2003,"BUELL","XB9R FIREBOLT",null
2003,"BUELL","XB9S LIGHTNING",null
2003,"BUELL","XB9SX LIGHTNING CITYX",null
2003,"BUICK","CENTURY",null
2003,"BUICK","LESABRE",null
2003,"BUICK","PARK AVENUE",null
2003,"BUICK","REGAL",null
2003,"BUICK","RENDEZVOUS",24
2003,"CADILLAC","CTS",55
2003,"CADILLAC","DEVILLE",128
2003,"CADILLAC","ESCALADE",125
2003,"CADILLAC","ESCALADE ESV",132
2003,"CADILLAC","ESCALADE EXT",70
2003,"CADILLAC","SEVILLE",null
2003,"CANNONDALE","BLAZE 440",18
2003,"CANNONDALE","C440R",56
2003,"CANNONDALE","CANNIBAL 440",null
2003,"CANNONDALE","E440",136
2003,"CANNONDALE","E440A",48
2003,"CANNONDALE","E440R",null
2003,"CANNONDALE","GLAMIS 440",null
2003,"CANNONDALE","MOTO 440",null
2003,"CANNONDALE","S440",39
2003,"CANNONDALE","SPEED 440",50
2003,"CANNONDALE","X440",68
2003,"CHEVROLET","ASTRA",78
2003,"CHEVROLET","ASTRO",23
2003,"CHEVROLET","AVALANCHE 1500",null
2003,"CHEVROLET","AVALANCHE 2500",null
2003,"CHEVROLET","BLAZER",63
2003,"CHEVROLET","C3500",null
2003,"CHEVROLET","C4500 KODIAK",null
2003,"CHEVROLET","C5500 KODIAK",null
2003,"CHEVROLET","C6500 KODIAK",148
2003,"CHEVROLET","C7500 KODIAK",null
2003,"CHEVROLET","CAVALIER",101
2003,"CHEVROLET","CHEVY",null
2003,"CHEVROLET","CHEVY MONZA",61
2003,"CHEVROLET","CHEVY PICKUP",45
2003,"CHEVROLET","CORSA",69
2003,"CHEVROLET","CORVETTE",null
2003,"CHEVROLET","EXPRESS 1500",36
2003,"CHEVROLET","EXPRESS 2500",null
2003,"CHEVROLET","EXPRESS 3500",null
2003,"CHEVROLET","IMPALA",2
2003,"CHEVROLET","LUV",null
2003,"CHEVROLET","MALIBU",null
2003,"CHEVROLET","MONTE CARLO",null
2003,"CHEVROLET","S10",null
2003,"CHEVROLET","SILVERADO 1500",null
2003,"CHEVROLET","SILVERADO 1500 HD",null
2003,"CHEVROLET","SILVERADO 2500",44
2003,"CHEVROLET","SILVERADO 2500 HD",null
2003,"CHEVROLET","SILVERADO 3500",51
2003,"CHEVROLET","SONORA",null
2003,"CHEVROLET","SSR",null
2003,"CHEVROLET","SUBURBAN 1500",null
2003,"CHEVROLET","SUBURBAN 2500",82
2003,"CHEVROLET","TAHOE",null
2003,"CHEVROLET","TRACKER",null
2003,"CHEVROLET","TRAILBLAZER",null
2003,"CHEVROLET","TRAILBLAZER EXT",null
2003,"CHEVROLET","VECTRA",74
2003,"CHEVROLET","VENTURE",91
2003,"CHEVROLET","W3500 TILTMASTER",null
2003,"CHEVROLET","W4500 TILTMASTER",79
2003,"CHEVROLET","W5500 TILTMASTER",25
2003,"CHEVROLET","ZAFIRA",52
2003,"CHRYSLER","300M",null
2003,"CHRYSLER","CIRRUS",null
2003,"CHRYSLER","CONCORDE",7
2003,"CHRYSLER","INTREPID",41
2003,"CHRYSLER","PT CRUISER",null
2003,"CHRYSLER","SEBRING",null
2003,"CHRYSLER","TOWN & COUNTRY",null
2003,"CHRYSLER","VOYAGER",73
2003,"COBRA","CH2",124
2003,"COBRA","CM50",null
2003,"COBRA","DC65",10
2003,"COBRA","KING",58
2003,"COBRA","PW3",null
2003,"COUNTRY COACH MOTORHOME","AFFINITY",null
2003,"COUNTRY COACH MOTORHOME","ALLURE",108
2003,"COUNTRY COACH MOTORHOME","INTRIGUE",null
2003,"COUNTRY COACH MOTORHOME","LEXA",null
2003,"COUNTRY COACH MOTORHOME","MAGNA",null
2003,"DODGE","ATOS",null
2003,"DODGE","CARAVAN",null
2003,"DODGE","DAKOTA",144
2003,"DODGE","DURANGO",43
2003,"DODGE","GRAND CARAVAN",null
2003,"DODGE","H100",118
2003,"DODGE","INTREPID",13
2003,"DODGE","NEON",19
2003,"DODGE","RAM 1500",132
2003,"DODGE","RAM 1500 TRUCK",null
2003,"DODGE","RAM 1500 VAN",null
2003,"DODGE","RAM 2500",13
2003,"DODGE","RAM 2500 PICKUP",null
2003,"DODGE","RAM 2500 TRUCK",null
2003,"DODGE","RAM 2500 VAN",null
2003,"DODGE","RAM 3500",null
2003,"DODGE","RAM 3500 PICKUP",null
2003,"DODGE","RAM 3500 TRUCK",125
2003,"DODGE","RAM 3500 VAN",null
2003,"DODGE","SPRINTER 2500",null
2003,"DODGE","SPRINTER 3500",null
2003,"DODGE","STRATUS",116
2003,"DODGE","SX 2.0",0
2003,"DODGE","VIPER",null
2003,"DUCATI",749,103
2003,"DUCATI","749S",null
2003,"DUCATI",800,null
2003,"DUCATI","800 SPORT",null
2003,"DUCATI","996S",null
2003,"DUCATI","998 BIPOSTO",134
2003,"DUCATI","998 MONOPOSTO",null
2003,"DUCATI",999,null
2003,"DUCATI","999R",130
2003,"DUCATI","999R FILA",null
2003,"DUCATI","999S",100
2003,"DUCATI","MONSTER 1000 DARK",null
2003,"DUCATI","MONSTER 1000S",null
2003,"DUCATI","MONSTER 400 DARK",107
2003,"DUCATI","MONSTER 400S",45
2003,"DUCATI","MONSTER 620",33
2003,"DUCATI","MONSTER 620S",null
2003,"DUCATI","MONSTER 800S",34
2003,"DUCATI","ST2",null
2003,"DUCATI","ST4",0
2003,"DUCATI","ST4S",null
2003,"E-TON","BEAMER",103
2003,"E-TON","VIPER 50",null
2003,"E-TON","YUKON II CXL 150",null
2003,"EL DORADO","E-Z RIDER",67
2003,"EL DORADO","E-Z RIDER II",null
2003,"EL DORADO","ESCORT RE",null
2003,"EL DORADO","TRANSMARK RE",11
2003,"FERRARI",360,88
2003,"FERRARI","456 M GT",null
2003,"FERRARI","456 M GTA",null
2003,"FERRARI","575 M MARANELLO",110
2003,"FERRARI","ENZO",null
2003,"FORD","COURIER",13
2003,"FORD","CROWN VICTORIA",92
2003,"FORD","E-150",null
2003,"FORD","E-150 CLUB WAGON",null
2003,"FORD","E-150 ECONOLINE",null
2003,"FORD","E-250",null
2003,"FORD","E-250 ECONOLINE",62
2003,"FORD","E-350",97
2003,"FORD","E-350 CLUB WAGON",null
2003,"FORD","E-350 ECONOLINE",null
2003,"FORD","E-450 ECONOLINE",null
2003,"FORD","E-450 SUPER DUTY",null
2003,"FORD","E-450 SUPER DUTY STRIPPED CHASSIS",null
2003,"FORD","E-550 SUPER DUTY",null
2003,"FORD","ECONOLINE",null
2003,"FORD","ESCAPE",null
2003,"FORD","ESCORT",null
2003,"FORD","EXCURSION",null
2003,"FORD","EXPEDITION",24
2003,"FORD","EXPLORER",null
2003,"FORD","EXPLORER SPORT TRAC",null
2003,"FORD","F-150",16
2003,"FORD","F-250",111
2003,"FORD","F-250 SUPER DUTY",6
2003,"FORD","F-350",44
2003,"FORD","F-350 SUPER DUTY",30
2003,"FORD","F-450",null
2003,"FORD","F-450 SUPER DUTY",null
2003,"FORD","F-550 SUPER DUTY",null
2003,"FORD","F53",116
2003,"FORD","F650",null
2003,"FORD","F750",121
2003,"FORD","FIESTA",120
2003,"FORD","FIESTA IKON",95
2003,"FORD","FOCUS",55
2003,"FORD","GRAND MARQUIS",null
2003,"FORD","KA",3
2003,"FORD","LOBO",108
2003,"FORD","MONDEO",95
2003,"FORD","MUSTANG",113
2003,"FORD","RANGER",105
2003,"FORD","TAURUS",21
2003,"FORD","THUNDERBIRD",null
2003,"FORD","WINDSTAR",null
2003,"FREIGHTLINER","ARGOSY",null
2003,"FREIGHTLINER","CENTURY CLASS",null
2003,"FREIGHTLINER","CLASSIC",72
2003,"FREIGHTLINER","CLASSIC XL",38
2003,"FREIGHTLINER","COLUMBIA",10
2003,"FREIGHTLINER","CONDOR",98
2003,"FREIGHTLINER","CORONADO",null
2003,"FREIGHTLINER","FC70",4
2003,"FREIGHTLINER","FC80",null
2003,"FREIGHTLINER","FL106",124
2003,"FREIGHTLINER","FL112",134
2003,"FREIGHTLINER","FL50",22
2003,"FREIGHTLINER","FL60",null
2003,"FREIGHTLINER","FL70",null
2003,"FREIGHTLINER","FL80",59
2003,"FREIGHTLINER","FS65",92
2003,"FREIGHTLINER","M2 106",39
2003,"FREIGHTLINER","MT35",null
2003,"FREIGHTLINER","MT45",60
2003,"FREIGHTLINER","MT55",null
2003,"FREIGHTLINER","SPRINTER 2500",null
2003,"FREIGHTLINER","SPRINTER 3500",138
2003,"FREIGHTLINER","XC",null
2003,"GAS GAS","ENDUCROSS EC 250",72
2003,"GAS GAS","PAMPERA 280",60
2003,"GILLIG","LOW FLOOR",54
2003,"GMC","C4500 TOPKICK",null
2003,"GMC","C5500 TOPKICK",0
2003,"GMC","C6500 TOPKICK",69
2003,"GMC","C7500 TOPKICK",11
2003,"GMC","ENVOY",null
2003,"GMC","ENVOY XL",null
2003,"GMC","JIMMY",null
2003,"GMC","SAFARI",78
2003,"GMC","SAVANA 1500",null
2003,"GMC","SAVANA 2500",74
2003,"GMC","SAVANA 3500",134
2003,"GMC","SIERRA 1500",12
2003,"GMC","SIERRA 1500 HD",null
2003,"GMC","SIERRA 2500",128
2003,"GMC","SIERRA 2500 HD",null
2003,"GMC","SIERRA 3500",33
2003,"GMC","SIERRA DENALI",null
2003,"GMC","SONOMA",113
2003,"GMC","W3500 FORWARD",null
2003,"GMC","W4500 FORWARD",142
2003,"GMC","W5500 FORWARD",147
2003,"GMC","YUKON",6
2003,"GMC","YUKON XL 1500",64
2003,"GMC","YUKON XL 2500",null
2003,"HARLEY DAVIDSON","FLHR ROAD KING",80
2003,"HARLEY DAVIDSON","FLHRCI ROAD KING CLASSIC",26
2003,"HARLEY DAVIDSON","FLHRI ROAD KING",123
2003,"HARLEY DAVIDSON","FLHRSEI2 SCREAMIN EAGLE ROAD KING 2",null
2003,"HARLEY DAVIDSON","FLHT ELECTRA GLIDE STANDARD",null
2003,"HARLEY DAVIDSON","FLHTC ELECTRA GLIDE CLASSIC",70
2003,"HARLEY DAVIDSON","FLHTCI ELECTRA GLIDE CLASSIC",101
2003,"HARLEY DAVIDSON","FLHTCUI ELECTRA GLIDE ULTRA CLASSIC",null
2003,"HARLEY DAVIDSON","FLHTI ELECTRA GLIDE STANDARD",85
2003,"HARLEY DAVIDSON","FLSTC HERITAGE SOFTAIL CLASSIC",null
2003,"HARLEY DAVIDSON","FLSTCI HERITAGE SOFTAIL CLASSIC",110
2003,"HARLEY DAVIDSON","FLSTF FAT BOY",null
2003,"HARLEY DAVIDSON","FLSTFI FAT BOY",null
2003,"HARLEY DAVIDSON","FLSTS HERITAGE SPRINGER",101
2003,"HARLEY DAVIDSON","FLSTSI HERITAGE SPRINGER",null
2003,"HARLEY DAVIDSON","FLTRI ROAD GLIDE",95
2003,"HARLEY DAVIDSON","FXD DYNA SUPER GLIDE",null
2003,"HARLEY DAVIDSON","FXDL DYNA LOW RIDER",null
2003,"HARLEY DAVIDSON","FXDWG DYNA WIDE GLIDE",null
2003,"HARLEY DAVIDSON","FXDX DYNA SUPER GLIDE SPORT",8
2003,"HARLEY DAVIDSON","FXDXT DYNA SUPER GLIDE T-SPORT",null
2003,"HARLEY DAVIDSON","FXST SOFTAIL STANDARD",null
2003,"HARLEY DAVIDSON","FXSTB NIGHT TRAIN",134
2003,"HARLEY DAVIDSON","FXSTBI NIGHT TRAIN",47
2003,"HARLEY DAVIDSON","FXSTD SOFTAIL DEUCE",131
2003,"HARLEY DAVIDSON","FXSTDI SOFTAIL DEUCE",136
2003,"HARLEY DAVIDSON","FXSTDSE SCREAMIN EAGLE SOFTAIL DEUC",null
2003,"HARLEY DAVIDSON","FXSTI SOFTAIL STANDARD",null
2003,"HARLEY DAVIDSON","FXSTS SPRINGER SOFTAIL",147
2003,"HARLEY DAVIDSON","FXSTSI SPRINGER SOFTAIL",null
2003,"HARLEY DAVIDSON","VRSCA V-ROD",null
2003,"HARLEY DAVIDSON","XL1200C SPORTSTER 1200 CUSTOM",null
2003,"HARLEY DAVIDSON","XL1200S SPORTSTER 1200 SPORT",70
2003,"HARLEY DAVIDSON","XL883C SPORTSTER 883 CUSTOM",43
2003,"HARLEY DAVIDSON","XL883R SPORTSTER 883 ROADSTER",null
2003,"HARLEY DAVIDSON","XLH1200",141
